filename,B_mean,B_std,B_hist_0,B_hist_1,B_hist_2,B_hist_3,B_hist_4,B_hist_5,B_hist_6,B_hist_7,G_mean,G_std,G_hist_0,G_hist_1,G_hist_2,G_hist_3,G_hist_4,G_hist_5,G_hist_6,G_hist_7,R_mean,R_std,R_hist_0,R_hist_1,R_hist_2,R_hist_3,R_hist_4,R_hist_5,R_hist_6,R_hist_7,H_mean,H_std,H_hist_0,H_hist_1,H_hist_2,H_hist_3,H_hist_4,H_hist_5,H_hist_6,H_hist_7,S_mean,S_std,S_hist_0,S_hist_1,S_hist_2,S_hist_3,S_hist_4,S_hist_5,S_hist_6,S_hist_7,V_mean,V_std,V_hist_0,V_hist_1,V_hist_2,V_hist_3,V_hist_4,V_hist_5,V_hist_6,V_hist_7,glcm_contrast,glcm_dissimilarity,glcm_homogeneity,glcm_energy,glcm_correlation,glcm_ASM,lbp_hist_0,lbp_hist_1,lbp_hist_2,lbp_hist_3,lbp_hist_4,lbp_hist_5,lbp_hist_6,lbp_hist_7,lbp_hist_8,lbp_hist_9,label
d:\batik\training\batik-bali\1.jpg,107.43818766276041,60.44579240285401,0.06271158903837204,0.22071777284145355,0.24583740532398224,0.13352051377296448,0.09845377504825592,0.09939208626747131,0.11107340455055237,0.028293456882238388,104.88949788411459,70.41425320500888,0.1528051793575287,0.2149275690317154,0.18233641982078552,0.09580729156732559,0.0916861966252327,0.0944620743393898,0.09108886867761612,0.07688639312982559,128.6723974609375,73.04994591905543,0.1017683893442154,0.2075284868478775,0.06054036319255829,0.07448811829090118,0.14565511047840118,0.15667562186717987,0.15280680358409882,0.10053710639476776,90.35251057942709,64.7932306074323,0.314654141664505,0.07367431372404099,0.08832357078790665,0.1849479228258133,0.0933610051870346,0.24503906071186066,0.0,0.0,103.33001953125,60.2928066931032,0.1426302045583725,0.19066162407398224,0.14490479230880737,0.14429035782814026,0.16186198592185974,0.13459309935569763,0.06593017280101776,0.015127766877412796,141.45146809895834,65.4270716563639,0.024659831076860428,0.1412491798400879,0.1348811835050583,0.1129239872097969,0.15505370497703552,0.15714925527572632,0.14413248002529144,0.1299503594636917,1331.4877780834904,22.562150400075627,0.09551591839997685,0.009901877576735933,0.8512504866495069,9.85262124921551e-05,0.07402994791666667,0.08220865885416667,0.056756998697916665,0.10894449869791667,0.18190266927083334,0.107431640625,0.06671793619791666,0.08343343098958333,0.09113362630208334,0.14744059244791666,batik-bali
d:\batik\training\batik-bali\10.jpg,73.30351880081301,58.1268437754265,0.3089049756526947,0.1437118947505951,0.1984502077102661,0.1713922768831253,0.09178099781274796,0.0507240854203701,0.02609247900545597,0.008943089284002781,96.6504700203252,68.8959269554406,0.26453250646591187,0.08423526585102081,0.11290650069713593,0.15026676654815674,0.18311737477779388,0.12164634466171265,0.06330030411481857,0.019994918256998062,132.21412601626017,82.44946535943876,0.22017276287078857,0.04411839321255684,0.05687246099114418,0.08715701103210449,0.1475609689950943,0.15732978284358978,0.12963669002056122,0.1571519374847412,29.91008638211382,47.031179329878654,0.8515878915786743,0.023818597197532654,0.007571138441562653,0.02539380080997944,0.023793190717697144,0.06783536821603775,0.0,0.0,137.0126143292683,66.83233104943032,0.03622967377305031,0.09512194991111755,0.15349338948726654,0.20732977986335754,0.19280995428562164,0.10777439177036285,0.047510161995887756,0.1597306877374649,132.4936737804878,82.1255139174085,0.21995681524276733,0.044105689972639084,0.056935977190732956,0.08683943003416061,0.14729420840740204,0.15791413187980652,0.12978912889957428,0.15716463327407837,3585.0531826978045,40.990413602902834,0.05656769871483356,0.013381018452613497,0.6413649110854354,0.0001804592882924601,0.09811991869918699,0.09579522357723577,0.07188770325203252,0.09646849593495935,0.10180386178861789,0.0839430894308943,0.05503048780487805,0.09697662601626016,0.1251778455284553,0.17479674796747968,batik-bali
d:\batik\training\batik-bali\11.jpg,117.21400274233258,90.77203343596315,0.28786933422088623,0.12270142883062363,0.0746888667345047,0.054852865636348724,0.047953538596630096,0.05842818319797516,0.17476190626621246,0.1787438839673996,130.92221392955824,92.36085781447542,0.2341773957014084,0.11565159261226654,0.07490910589694977,0.06399708241224289,0.059128958731889725,0.05564235523343086,0.1054600179195404,0.2910335063934326,136.41236618010745,93.44307794556642,0.23941108584403992,0.09994670003652573,0.061299972236156464,0.05211294814944267,0.05318896099925041,0.06513316184282303,0.12057425826787949,0.3083329200744629,51.63446543155837,45.409703245074766,0.4703832268714905,0.2294628769159317,0.12054940313100815,0.08655400574207306,0.0493212528526783,0.04372922703623772,0.0,0.0,80.39175173743202,80.08271040707709,0.4300149381160736,0.13912677764892578,0.08955317735671997,0.07664135843515396,0.0736149251461029,0.05754721537232399,0.03762871026992798,0.0958729013800621,140.779857732867,91.48543278440548,0.19694186747074127,0.12344880402088165,0.06948968768119812,0.0542418472468853,0.05392943322658539,0.06517769396305084,0.11209733039140701,0.3246733248233795,1806.9308758399643,25.369531971887636,0.1316683012787746,0.01741834555571685,0.8925644269097657,0.0003053476021138434,0.050159071859884205,0.06244675166148624,0.05150814483824242,0.13362968291952096,0.21886154534445548,0.1420468902970308,0.0649287973918843,0.06718162499085199,0.09895215554797632,0.11028533514866729,batik-bali
d:\batik\training\batik-bali\12.jpg,79.39579816666667,51.78878281518045,0.10309399664402008,0.35257092118263245,0.3308125138282776,0.06301266700029373,0.04482974857091904,0.03821708261966705,0.0404939167201519,0.026969166472554207,92.47997583333333,62.225411006003604,0.06751591712236404,0.3848361670970917,0.2196352481842041,0.07282157987356186,0.08714791387319565,0.05608541518449783,0.04499558359384537,0.06696216762065887,100.75047666666667,69.73672992003178,0.07743841409683228,0.37976640462875366,0.17046041786670685,0.06908749788999557,0.06081583350896835,0.07725033164024353,0.07699033617973328,0.08819074928760529,67.05748158333333,49.11642436549012,0.47290483117103577,0.025555500760674477,0.011839750222861767,0.43938925862312317,0.03057408332824707,0.019736582413315773,0.0,0.0,82.26715983333334,53.4585099473425,0.18631166219711304,0.20202983915805817,0.3028128445148468,0.10682008415460587,0.09248483180999756,0.06608991324901581,0.031279582530260086,0.012171249836683273,107.82386975,65.46275622865036,0.029726333916187286,0.25130024552345276,0.33940133452415466,0.07330650091171265,0.061141084879636765,0.07809791713953018,0.07734908163547516,0.08967749774456024,520.7586961126053,11.90411862144609,0.23850447558786264,0.023268575692585565,0.9322963747952608,0.0005468570470030004,0.0215435,0.05202225,0.0395595,0.15101783333333332,0.2591465,0.17801075,0.08042191666666666,0.06581533333333334,0.078964,0.07349841666666666,batik-bali
d:\batik\training\batik-bali\13.jpg,73.928024,54.37253201254678,0.09667100012302399,0.5382639765739441,0.10328599810600281,0.08500400185585022,0.05261699855327606,0.06043599918484688,0.0609700009226799,0.0027520000003278255,85.022713,59.472468715529466,0.07518500089645386,0.4210360050201416,0.12790000438690186,0.14024199545383453,0.08391600102186203,0.06937800347805023,0.06482899934053421,0.017513999715447426,126.662728,50.42900167163747,0.016832999885082245,0.025011999532580376,0.26166701316833496,0.2903670072555542,0.18402500450611115,0.08677099645137787,0.06166800111532211,0.07365699857473373,80.129594,78.35905071780265,0.5483130216598511,0.008045000024139881,0.028589999303221703,0.03229999914765358,0.00165200000628829,0.38109999895095825,0.0,0.0,132.265969,53.24953101662999,0.0374940000474453,0.12483900040388107,0.11158700287342072,0.08652400225400925,0.19226199388504028,0.3729099929332733,0.05877399817109108,0.015610000118613243,129.608929,50.588422217667144,0.01169199962168932,0.025111999362707138,0.2509799897670746,0.2791379988193512,0.18495699763298035,0.10072200000286102,0.07215999811887741,0.07523900270462036,881.2852238413768,17.359080010763087,0.2662901916808006,0.13864040160397867,0.8492156192914311,0.019250341713032817,0.032575,0.049453,0.036761,0.130929,0.213142,0.130888,0.05542,0.067035,0.203324,0.080473,batik-bali
d:\batik\training\batik-bali\14.jpg,113.89023030598959,64.92339850244878,0.11493489891290665,0.15192057192325592,0.17032389342784882,0.1516406238079071,0.14206461608409882,0.11989989876747131,0.0884195938706398,0.060795899480581284,122.272421875,66.93276027458953,0.10728108882904053,0.1258072853088379,0.15750975906848907,0.14454182982444763,0.1385904997587204,0.1385156214237213,0.10433918982744217,0.0834147110581398,121.69275960286458,71.57631991274162,0.13397216796875,0.13133707642555237,0.14169107377529144,0.12789469957351685,0.12861979007720947,0.12210367619991302,0.10493733733892441,0.10944417119026184,69.24012858072916,45.595288335615855,0.3120434582233429,0.15988606214523315,0.17867188155651093,0.2657950818538666,0.04332519695162773,0.040278319269418716,0.0,0.0,63.95642333984375,48.28100901369688,0.3045580983161926,0.28153809905052185,0.18951253592967987,0.11263997107744217,0.06284260749816895,0.029791666194796562,0.010677083395421505,0.008439941331744194,132.84465983072917,69.44680343815807,0.08465901762247086,0.11751220375299454,0.1429060846567154,0.13667398691177368,0.13308919966220856,0.1320418268442154,0.11924723535776138,0.1338704377412796,271.9959727934046,10.035014512081231,0.15903665883850046,0.011850805334219533,0.9696881945994164,0.00014233008743996784,0.0071728515625,0.02078369140625,0.0272216796875,0.16196695963541666,0.4287353515625,0.2245166015625,0.054591471354166664,0.024227701822916666,0.02446533203125,0.026318359375,batik-bali
d:\batik\training\batik-bali\15.jpg,152.63392687061102,75.1193229057083,0.10566066950559616,0.06768342852592468,0.06684881448745728,0.09801759570837021,0.11856162548065186,0.15968440473079681,0.1963072121143341,0.1872362643480301,158.08667204778433,71.40972527445676,0.09332795441150665,0.046619582921266556,0.0563499890267849,0.09933005273342133,0.14471708238124847,0.16385261714458466,0.2028137892484665,0.19298894703388214,179.50500605375737,73.73326331404392,0.08668738603591919,0.048350147902965546,0.0400540791451931,0.035421743988990784,0.04198159649968147,0.1258503496646881,0.30000969767570496,0.32164502143859863,61.77666397610784,68.67318505717745,0.5457736849784851,0.051805634051561356,0.07283154129981995,0.10367826372385025,0.027181370183825493,0.1987295150756836,0.0,0.0,78.17204536282186,69.98940877895556,0.33539026975631714,0.20638954639434814,0.12253208458423615,0.10556461662054062,0.07806037366390228,0.055860843509435654,0.04109290614724159,0.05510937049984932,190.8219799822423,64.49038529012614,0.05212930962443352,0.04241988807916641,0.026111872866749763,0.026272499933838844,0.03994591906666756,0.1384139209985733,0.32272014021873474,0.35198643803596497,1725.610085616315,28.077465823852926,0.11606813054510776,0.0660437006663421,0.8187684957447606,0.0043621881850925,0.07138025667931229,0.08105093227863427,0.05448139478569699,0.10398337234643636,0.16484300589232384,0.09426184518524497,0.0594446686576802,0.08682863830817661,0.14413511986439584,0.13959076600209863,batik-bali
d:\batik\training\batik-bali\16.jpg,111.43465224496579,67.63662682133533,0.08443896472454071,0.22535176575183868,0.15874719619750977,0.17924410104751587,0.13116984069347382,0.05319848656654358,0.051747776567935944,0.11610184609889984,110.43478727529568,80.0199937561641,0.2443460375070572,0.10953729599714279,0.10363058745861053,0.12407209724187851,0.1480313241481781,0.08477827161550522,0.04253455251455307,0.14306983351707458,116.21422042489544,82.22077576975826,0.22835013270378113,0.10841204226016998,0.09844057261943817,0.10768149793148041,0.12721587717533112,0.12736129760742188,0.05185510963201523,0.1506834626197815,65.82619519153533,56.00643713214483,0.5459345579147339,0.019482452422380447,0.002354375086724758,0.3034304678440094,0.08120862394571304,0.047589536756277084,0.0,0.0,79.6525565742459,72.78003396310201,0.314669132232666,0.2571566104888916,0.14979711174964905,0.061923522502183914,0.04021480306982994,0.041596267372369766,0.05262720584869385,0.08201534301042557,126.27636207517381,72.77255484447568,0.05777566879987717,0.22087153792381287,0.1333649605512619,0.1160014420747757,0.13704539835453033,0.13061241805553436,0.052322521805763245,0.15200605988502502,1833.8443583561757,30.06903603168159,0.06167083758734432,0.010553589870376636,0.8526159213834947,0.00011228455615683937,0.06333268703431848,0.08644364734232612,0.05304614574966069,0.11892017283882225,0.22146359028335597,0.10386948453037144,0.05348239758468825,0.08585851591280504,0.0818803146552918,0.13170304406835998,batik-bali
d:\batik\training\batik-bali\17.jpg,84.07005317567791,70.87591781908229,0.273260235786438,0.2838706076145172,0.10086038708686829,0.07087063044309616,0.07442943751811981,0.07224130630493164,0.0693926066160202,0.05507481098175049,83.36167718069822,79.5370837084461,0.4192621409893036,0.14937905967235565,0.06898801028728485,0.06474386155605316,0.06997060775756836,0.07260461896657944,0.07192753255367279,0.08312415331602097,90.84297486540939,83.20756685142369,0.37043794989585876,0.16426660120487213,0.06931829452514648,0.07148165255784988,0.07010272145271301,0.0712009146809578,0.07144862413406372,0.11174323409795761,77.19356277041979,56.26976490702571,0.4254467189311981,0.03678534924983978,0.011204875074326992,0.3829309344291687,0.08497374504804611,0.05865838751196861,0.0,0.0,90.18191201241866,66.02832659003558,0.23592990636825562,0.18906265497207642,0.13875219225883484,0.15935362875461578,0.1367126852273941,0.0593932680785656,0.02650526724755764,0.05429038405418396,97.40960134755755,78.89686729911088,0.2342289537191391,0.2694537043571472,0.09735112637281418,0.07214222103357315,0.0706559419631958,0.07129999995231628,0.07174587994813919,0.11312217265367508,4975.572489616327,45.8404887324236,0.0943284113642289,0.013716677087159795,0.6045342640168692,0.00018862544788721445,0.10354394424810913,0.10200812497935727,0.049493014499455035,0.08242230075634971,0.09868051656372824,0.07054860124847244,0.04874161905076461,0.10354394424810913,0.1538709251246821,0.18714700928097236,batik-bali
d:\batik\training\batik-bali\18.jpg,104.64216434108528,46.2754176558419,0.025100775063037872,0.2132992297410965,0.23053333163261414,0.1884434074163437,0.2008744180202484,0.11164341121912003,0.02995348908007145,0.0001519379875389859,129.0356558139535,43.42239535752734,0.0007999999797903001,0.057237207889556885,0.19741705060005188,0.25302326679229736,0.20903876423835754,0.19540774822235107,0.0836620181798935,0.003413953585550189,138.80066046511627,40.6052479924089,0.0006139535107649863,0.039513178169727325,0.11530542373657227,0.23439069092273712,0.2760806083679199,0.23613953590393066,0.09272248297929764,0.005234108306467533,32.418561240310076,31.49213068149252,0.7086294293403625,0.22493332624435425,0.015017054043710232,0.01573333330452442,0.0051100775599479675,0.03057674504816532,0.0,0.0,73.01195348837209,44.2451625497308,0.17698915302753448,0.3388744294643402,0.19453023374080658,0.14111007750034332,0.10538294911384583,0.03709147125482559,0.005184496287256479,0.0008372092852368951,141.27803410852712,40.197829159390174,0.0002294573641847819,0.03333953395485878,0.10292092710733414,0.23309147357940674,0.2806573510169983,0.23959070444107056,0.10273178666830063,0.007438759785145521,554.6012408705724,16.553597720172853,0.08473521380507676,0.010460960423251824,0.8423070145355738,0.00011010632989665072,0.06288992248062016,0.07686201550387597,0.06222015503875969,0.12317209302325581,0.20268217054263565,0.11915348837209302,0.0654015503875969,0.08022635658914729,0.07744496124031008,0.12994728682170542,batik-bali
